url,title,authors,summary,cited_by,pdf_url,pdf_path
"ftp://vpa.users.odessa.comstar.net.ua/public/Sci_Library/Phys%20Library/PT_Thermodynamics,%20statistical%20physics/Nelson%20E.%20Dynamical%20theories%20of%20Brownian%20motion%20(2ed,%20Princeton,%202001)(120s).pdf",[BOOK][B] Dynamical theories of Brownian motion,"E Nelson, E Nelson, E Nelson, E Nelson - 1967 - vpa.users.odessa.comstar.net.ua","On July 2, 2001, I received an email from Jun Suzuki, a recent graduate in theoretical physics from the University of Tokyo. It contained a request to reprint “Dynamical Theories of Brownian Motion”, which was first published by Princeton University Press in 1967 and  ...",1461,"ftp://vpa.users.odessa.comstar.net.ua/public/Sci_Library/Phys%20Library/PT_Thermodynamics,%20statistical%20physics/Nelson%20E.%20Dynamical%20theories%20of%20Brownian%20motion%20(2ed,%20Princeton,%202001)(120s).pdf",pdfs\40.pdf
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.84.2722,Inseparability criterion for continuous variable systems,"LM Duan, G Giedke, JI Cirac, P Zoller - Physical Review Letters, 2000 - APS",Abstract An inseparability criterion based on the total variance of a pair of Einstein-Podolsky-Rosen type operators is proposed for continuous variable systems. The criterion provides a sufficient condition for entanglement of any two-party continuous variable states.  ...,1449,http://arxiv.org/pdf/quant-ph/9908056,pdfs\41.pdf
https://books.google.com/books?hl=en&lr=&id=yoKT7kbfpUAC&oi=fnd&pg=PT5&ots=A0x0pKjewg&sig=3AdDOHLXyOkZogTwr71uT45BQPE,[BOOK][B] The dancing Wu Li masters: An overview of the new physics,G Zukav - 2012 - books.google.com,"This is an account of the essential aspects of the new physics for those with little or no knowledge of mathematics or science. It describes current theories of quantum mechanics, Einstein's special and general theories of relativity and other speculations, alluding  ...",1429,http://www.milwaukiehigh.org/science/Linman's%20Physics/gary_zukav_-_the_dancing_wu_li_masters.pdf,pdfs\42.pdf
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.81.5039,Violation of Bell's inequality under strict Einstein locality conditions,"G Weihs, T Jennewein, C Simon, H Weinfurter… - Physical Review Letters, 1998 - APS",Abstract We observe strong violation of Bell's inequality in an Einstein-Podolsky-Rosen-type experiment with independent observers. Our experiment definitely implements the ideas behind the well-known work by Aspect et al. We for the first time fully enforce the condition  ...,1412,http://arxiv.org/pdf/quant-ph/9810080)%C3%A2%E2%82%AC%E2%84%A2,pdfs\43.pdf
http://journals.aps.org/prd/abstract/10.1103/PhysRevD.26.1862,Environment-induced superselection rules,"WH Zurek - Physical Review D, 1982 - APS","Abstract We show how the correlations of a quantum system with other quantum systems may cause one of its observables to behave in a classical manner. In particular,"" reduction of the wave packet,"" postulated by von Neumann to explain definiteness of an outcome of an  ...",1360,http://newton.kias.re.kr/~brane/wc2013/project/zurek1982.pdf,pdfs\44.pdf
https://books.google.com/books?hl=en&lr=&id=sHJRFHz1rYsC&oi=fnd&pg=PR11&ots=RpDXNgkd-0&sig=7JCwyq78b_hIJ3UhP5zf6_P2Kb8,[BOOK][B] Quantum mechanics: a modern development,LE Ballentine - 1998 - books.google.com,""" the book is of greatest benefit to students of quantum mechanics who want to learn more than solely computational recipes and predictive tools of the theory, and, in this sense, the book really fills a gap in the literature"". Mathematical Reviews, 1999",1299,,
http://iopscience.iop.org/0034-4885/61/2/002,Quantum computing,"A Steane - Reports on Progress in Physics, 1998 - iopscience.iop.org","Abstract The subject of quantum computing brings together ideas from classical information theory, computer science, and quantum physics. This review aims to summarize not just quantum computing, but the whole subject of quantum information theory. Information can  ...",1172,http://arxiv.org/pdf/quant-ph/9708022,pdfs\46.pdf
http://www.sciencemag.org/content/272/5265/1131.short,A “Schrödinger cat” superposition state of an atom,"C Monroe, DM Meekhof, BE King, DJ Wineland - Science, 1996 - sciencemag.org",Abstract A “Schrödinger cat''-like state of matter was generated at the single atom level. A trapped 9 Be+ ion was laser-cooled to the zero-point energy and then prepared in a superposition of spatially separated coherent harmonic oscillator states. This state was  ...,1165,http://tf.nist.gov/general/pdf/1112.pdf,pdfs\47.pdf
http://dl.acm.org/citation.cfm?id=2385835,[BOOK][B] Probabilistic reasoning in expert systems: theory and algorithms,RE Neapolitan - 2012 - dl.acm.org,"Abstract This text is a reprint of the seminal 1989 book Probabilistic Reasoning in Expert systems: Theory and Algorithms, which helped serve to create the field we now call Bayesian networks. It introduces the properties of Bayesian networks (called causal  ...",1143,,
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.85.2392,Efficient scheme for two-atom entanglement and quantum information processing in cavity QED,"SB Zheng, GC Guo - Physical Review Letters, 2000 - APS",Abstract A scheme is proposed for the generation of two-atom maximally entangled states and realization of quantum logic gates and teleportation with cavity QED. The scheme does not require the transfer of quantum information between the atoms and cavity. In the  ...,1135,,
